,Name,Min Value,id_1,id_2,,,,,,,,,,,,,,,
,,,,,,LOSS_13_def2,0.515727116,0.816352739,0.298897194,1.155770898,1.009888668,4.296422916,15,15,8,9,0.1535,0.3055,0.7375
,,,,,,LOSS_13_hab3,0.147982637,0.087463598,4.908866188,0.450585783,3.754876603,3.195065402,11,11,6,6,0.2345,0.5965,0.8335
,,,,,,LOSS_14_def2,0.15,0.15,3.5,0.2,3,4.43724739,24,25,7,8,0.497,0.1705,0.6675
,,,,,,LOSS_14_hab3,0.215362591,0.081368589,4.858386478,0.568861431,5.207956288,2.554980742,10,11,5,6,0.173,0.6515,0.8475
,,,,,,LOSS_15_def2,0.101950405,0.055407017,4.950524614,0.115140038,3.154707234,2.940415636,13,13,5,5,0.1795,0.5335,0.7985
,,,,,,LOSS_15_hab3,0.210223671,0.066467643,4.937115452,0.381617244,3.898368379,3.092608564,8,9,3,4,0.207,0.624,0.8445
,,,,,,LOSS_16_def2,0.367263922,0.63,7.521287655,1.110292279,2.016434895,1.930290098,5,5,1,2,0.0675,0.725,0.9115
,,,,,,LOSS_16_hab3,0.219379437,0.073756821,4.914607524,0.569200004,3.918470286,2.602157206,7,8,4,5,0.2735,0.5845,0.8865
,,,,,,LOSS_17_def2,0.202312574,0.066042002,4.89559458,0.50699334,4.360236213,2.707225653,5,5,2,2,0.1385,0.724,0.896
,,,,,,LOSS_17_hab3,0.246993298,0.048389916,4.886265037,0.281803009,3.906165009,3.79658214,17,17,7,7,0.3635,0.4055,0.7745
,,,,,,LOSS_18_def2,0.199185522,0.08669176,4.886347125,0.498324589,4.642227045,3.41889804,13,14,4,5,0.2,0.548,0.785
,,,,,,LOSS_18_hab3,0.897602032,0.886823797,0.303039948,1.142265274,1.01261406,4.71291424,14,15,11,12,0.229,0.3405,0.6965
,,,,,,LOSS_19_def2,0.168056683,0.057470287,4.989673124,0.117175169,2.559438887,3.813127568,14,15,7,8,0.249,0.457,0.7605
,,,,,,LOSS_19_hab3,0.513798117,0.87705756,0.271078611,1.133015332,1.060739951,4.666456582,11,12,7,8,0.1535,0.228,0.7555
,,,,,,LOSS_20_def2,0.474978537,0.719183635,0.735021943,0.40967481,2.775568426,3.901667725,13,14,4,5,0.3685,0.228,0.8085
,,,,,,LOSS_20_hab3,0.600207615,0.768483092,0.720644735,1.120970781,2.314835569,4.395300543,12,12,7,8,0.195,0.221,0.756
